"SUID","AverageShortestPathLength","BetweennessCentrality","canonicalName","ClosenessCentrality","ClusteringCoefficient","Drug target","Eccentricity","EdgeCount","hiddenLabel","Indegree","IsSingleNode","MCODE_Cluster","MCODE_Node_Status","MCODE_Score","name","NeighborhoodConnectivity","Outdegree","PartnerOfMultiEdgedNodePairs","Rule change in X cell line","selected","SelfLoops","shared name","Stress"
"95","5.13103448","0.03068644","SMAD1","0.19489247","0.08333333",,"8","9","","7","false","","Unclustered","0.9285714285714286","SMAD1","9.333333333333334","2","0","SW620","false","0","SMAD1","1087"
"96","6.33103448","1.5145E-4","SMAD5","0.15795207","0.08333333",,"10","4","","3","false","","Unclustered","2.0","SMAD5","7.75","1","0","","false","0","SMAD5","17"
"97","7.31034483","0.00558488","ATF2","0.13679245","0.0",,"12","4","","3","false","","Unclustered","0.4","ATF2","13.25","1","0","","false","0","ATF2","811"
"98","5.19310345","0.03293807","TAB_f","0.19256308","0.0",,"9","3","","2","false","","Unclustered","0.5","TAB_f","8.666666666666666","1","0","SW620","false","0","TAB_f","1963"
"99","5.02068966","0.00319087","GRAP2","0.19917582","0.16666667",,"8","3","","1","false","","Unclustered","2.0","GRAP2","8.666666666666666","2","0","","false","0","GRAP2","117"
"100","4.84827586","0.00813562","MSK_f","0.20625889","0.15",,"8","5","","2","false","Cluster 1","Unclustered","1.2","MSK_f","10.8","3","0","","false","0","MSK_f","477"
"101","5.04827586","0.00352393","DUSP1_g","0.19808743","0.33333333",,"8","3","","2","false","","Unclustered","2.0","DUSP1_g","14.0","1","0","","false","0","DUSP1_g","314"
"102","5.35172414","0.0112045","MAPKAPK2","0.18685567","0.0",,"10","5","","1","false","","Unclustered","0.3333333333333333","MAPKAPK2","6.8","4","0","","false","0","MAPKAPK2","603"
"103","5.34482759","0.04733241","SMAD3","0.18709677","0.07142857",,"9","15","","11","false","","Unclustered","1.2545454545454544","SMAD3","9.866666666666667","4","0","AGS,SW620","false","0","SMAD3","3108"
"104","4.56551724","0.00495587","SKI","0.21903323","0.14285714",,"8","7","","1","false","Cluster 6","Unclustered","0.9285714285714286","SKI","10.857142857142858","6","0","","false","0","SKI","207"
"105","5.32413793","0.00685607","AKT1S1","0.18782383","0.0",,"9","2","","1","false","","Unclustered","0.6666666666666666","AKT1S1","11.5","1","0","","false","0","AKT1S1","261"
"106","5.20689655","0.01236037","MAP3K5","0.19205298","0.0",,"8","2","","1","false","","Unclustered","0.6666666666666666","MAP3K5","10.0","1","0","","false","0","MAP3K5","609"
"107","8.45517241","0.01026438","BAD","0.1182708","0.0",,"13","3","","2","false","","Unclustered","0.5","BAD","10.0","1","0","","false","0","BAD","456"
"108","5.35862069","0.02673699","SMAD4","0.18661519","0.12820513",,"9","13","","10","false","Cluster 1|Cluster 3","Clustered","2.5714285714285716","SMAD4","8.23076923076923","3","0","AGS","false","0","SMAD4","1556"
"109","4.66206897","0.0399145","TSC_f","0.21449704","0.11904762",,"8","7","","5","false","Cluster 4","Unclustered","3.0","TSC_f","11.571428571428571","2","0","AGS,SW620","false","0","TSC_f","1448"
"110","4.84137931","0.01398716","MAP3K8","0.20655271","0.0",,"8","2","","1","false","","Unclustered","0.6666666666666666","MAP3K8","7.0","1","0","","false","0","MAP3K8","613"
"111","6.71034483","0.02720678","TGFB1","0.14902364","0.0",,"10","4","","3","false","","Unclustered","0.4","TGFB1","5.5","1","0","","false","0","TGFB1","1194"
"112","6.45517241","0.03006722","PRKACA","0.15491453","0.0",,"10","3","","2","false","","Unclustered","0.5","PRKACA","5.0","1","0","","false","0","PRKACA","1006"
"113","7.53103448","0.00579158","BAX","0.13278388","0.0",,"12","2","","1","false","","Unclustered","0.6666666666666666","BAX","6.0","1","0","","false","0","BAX","319"
"114","6.97241379","0.00604808","MDM2_g","0.14342235","0.16666667",,"11","3","","2","false","","Unclustered","2.0","MDM2_g","7.333333333333333","1","0","","false","0","MDM2_g","247"
"115","5.44827586","0.02212878","SMAD2","0.1835443","0.04545455",,"9","11","","8","false","","Unclustered","0.8571428571428571","SMAD2","7.909090909090909","3","0","","false","0","SMAD2","1173"
