MAP3K7	AKT_f	MAPK14	GSK3_f	MEK_f	PIK3CA	CTNNB1	JNK_f	RSK_f	IKBKB	TGFBR1	ACVR1	JAK_f	CK1_f	MYC	PTEN	STAT3	PDPK1	ROCK1	SYK	Prosurvival	Antisurvival	Shortest_distance_target	Shortest_distance_output
CTNNB1	7	5	5	6	6	7	0	5	5	6	7	9	6	5	2	4	5	4	7	9	3	7	0	3
LEF1	9	4	7	5	5	6	6	6	4	5	6	8	5	6	5	4	4	3	6	8	5	6	3	5
SFRP1	8	6	6	3	7	8	4	5	7	6	5	7	7	3	4	4	6	8	5	7	5	8	3	5
FZD_f	7	5	5	2	6	7	3	4	6	5	4	6	6	2	3	3	5	7	4	6	4	7	2	4
CASP8	8	5	6	6	6	6	7	5	7	4	5	7	6	7	4	3	3	6	2	8	5	2	2	2
REL_f	7	7	9	8	7	7	7	7	9	5	4	10	6	9	6	5	5	8	6	8	7	7	4	7
NFKB_f	6	6	8	7	6	6	6	6	8	4	3	9	5	8	5	4	4	7	5	7	6	6	3	6
DVL_f	6	4	4	1	5	6	3	3	6	4	4	6	5	5	2	2	4	6	3	5	3	6	1	3
LRP_f	6	4	7	5	5	6	2	7	5	6	3	5	6	1	4	6	4	6	5	6	5	6	1	5
BTRC	8	6	6	7	7	8	1	6	6	7	8	10	7	6	3	5	6	5	8	10	4	8	1	4
CK1_f	9	7	7	8	8	9	2	7	7	8	9	11	8	0	4	6	7	6	9	11	5	9	0	5
AXIN1	5	3	6	4	4	5	2	6	4	5	2	4	5	5	4	5	3	6	4	5	5	5	2	5
mTORC2_c	6	1	4	2	3	6	3	3	5	4	4	6	5	5	3	3	4	5	3	5	4	3	1	3
PDPK1	7	2	5	2	4	3	4	5	1	2	4	6	5	6	2	3	2	0	5	5	2	4	0	2
MEK_f	6	3	4	2	0	3	4	4	2	4	5	7	4	3	3	3	2	2	5	5	3	5	0	3
CYCS	9	6	7	7	7	7	8	6	8	5	6	8	7	8	5	4	4	7	3	9	6	3	3	3
CASP9	8	5	6	6	6	6	7	5	7	4	5	7	6	7	4	3	3	6	2	8	5	2	2	2
GSK3_f	6	3	6	0	4	5	2	5	5	3	3	5	4	5	1	1	4	6	5	4	2	5	0	2
IRS1	8	3	6	4	5	1	5	5	7	6	6	8	7	7	5	5	6	7	5	7	6	5	1	5
MDM2	9	5	8	6	4	4	7	7	6	2	6	8	6	7	7	3	6	6	6	7	7	5	2	5
AKT_f	5	0	3	1	2	5	2	4	4	3	3	5	4	5	2	2	3	4	4	4	3	2	0	2
BCL2	10	7	8	8	8	8	9	7	9	6	7	9	8	9	6	5	5	8	4	10	7	4	4	4
RAF_f	6	4	5	3	1	4	5	5	3	5	6	8	3	4	4	4	3	3	6	3	4	6	1	4
mTORC1_c	7	3	5	2	3	3	4	5	3	4	5	7	6	4	2	3	1	4	5	6	3	5	1	3
RHEB	7	4	6	3	2	4	5	6	4	5	6	8	4	5	3	4	2	4	6	4	4	6	2	4
RTPK_g	8	3	6	4	4	5	5	5	3	4	5	7	4	5	4	3	3	2	5	7	4	5	2	4
PTEN	7	2	5	3	4	4	4	6	6	2	4	6	5	7	4	0	5	6	6	5	5	4	0	4
CASP3	7	4	5	5	5	5	6	4	6	3	4	6	5	6	3	2	2	5	1	7	4	1	1	1
PIK3CA	7	2	5	3	4	0	4	4	6	5	5	7	6	6	4	4	5	6	4	6	5	4	0	4
CREBBP	8	4	7	5	6	6	6	8	7	4	5	7	6	8	6	2	6	8	7	6	7	6	2	6
PTPN11	8	4	7	5	3	2	6	6	5	7	7	9	5	6	6	6	5	5	6	5	6	6	2	6
KRAS	7	3	6	4	2	1	5	5	4	6	6	8	4	5	5	5	4	4	5	4	5	5	1	5
MAP2K4	3	4	1	2	5	5	4	1	4	3	4	6	5	3	3	3	2	3	6	5	4	4	1	4
MAP2K7	7	5	6	4	6	7	4	1	6	7	4	6	5	3	3	5	2	5	6	5	4	6	1	4
MAPK14	2	3	0	1	4	4	3	2	3	2	4	6	4	2	2	2	1	2	5	4	3	3	0	3
JNK_f	6	4	5	3	5	6	3	0	5	6	3	5	4	2	2	4	1	4	5	4	3	5	0	3
MAP2K3	3	4	1	2	5	5	4	3	4	3	5	7	5	3	3	3	2	3	6	5	4	4	1	4
ERK_f	5	3	3	1	1	2	3	3	1	4	4	6	4	2	2	2	1	3	5	4	2	5	1	2
LIF	5	7	7	8	7	5	5	6	7	6	8	11	2	8	4	7	3	6	6	2	5	5	2	5
PPP1CA	6	1	4	2	2	3	3	4	2	3	3	5	5	3	2	3	1	4	3	5	3	3	1	3
GAB_f	8	3	6	4	4	1	5	5	6	6	6	8	6	7	5	5	6	6	5	6	6	5	1	5
SOS1	8	4	7	5	3	2	6	6	5	7	7	9	5	6	6	6	5	5	6	5	6	6	2	6
PRKCA	8	6	7	7	8	8	2	7	7	6	5	9	7	7	4	4	6	6	7	8	5	8	2	5
VAV1	6	4	4	5	6	8	6	3	7	6	6	8	7	5	5	4	4	6	3	7	6	6	3	6
PLCG1	9	5	8	6	4	3	3	7	6	7	6	10	6	7	5	5	6	6	7	6	6	7	3	6
PRKCD	6	4	4	5	4	4	6	4	5	2	3	5	4	6	2	3	1	4	5	6	3	3	1	3
RSK_f	6	3	4	1	4	4	3	4	0	4	4	6	4	5	2	2	2	5	5	4	1	5	0	1
S6K_f	7	2	5	1	4	2	3	4	6	3	4	6	5	6	2	2	5	6	4	5	3	4	1	3
PLK1	8	4	7	5	3	3	6	6	5	1	5	9	5	5	1	6	5	5	6	7	2	4	1	2
ILK	6	1	4	2	3	6	3	5	5	4	4	6	5	6	3	3	4	5	5	5	4	3	1	3
