mutated_node	node_ko	drugs	growth	nb_fixpoints	stable_state
SRC%0	MAPK14%0,JNK_f%0	BI-JN	n/a	0	-
SRC%0	MAPK14%0,RSK_f%0	BI-D1	2.0	1	01112111111011001000011111111010110100001100001111110000111111011110101111011111101111011001110111010000101111010111111110011000110001111101010001
SRC%0	MAPK14%0,IKBKB%0	BI-60	3.0	1	01113111111011001000011111111010110100001100001111110000111111011110101111111111101101011001110110010000101111010111111110011000110001111101010001
SRC%0	MAPK14%0,TGFBR1%0,ACVR1%0	BI-SB	3.0	1	01113111111011001000011111111010110100001100001111110000111111011110101111111111101111011001110111010000101111000111111100010000110001111101010001
SRC%0	MAPK14%0,JAK_f%0	BI-RU	3.0	1	01113111111011001000011111111010110100001100001111110000111111011110101111111111101111011001110111010000101111010111111110011000110001111101010001
SRC%0	MAPK14%0,CK1_f%0,TGFBR1%0	BI-D4	3.0	1	01113111111011001000011111111010110100001100001111110000111111011110101111111111101111011001110111010000101111010111111110010000110001111101010001
SRC%0	MAPK14%0,MYC%0	BI-F4	2.0	1	01112111111011001000001111111100110100001100001111110000111111011110101111111111101111011001110111010000101111010111111110011000110101111101010001
SRC%0	MAPK14%0,STAT3%0	BI-ST	3.0	1	01113111111011001000011111111010110100001100001111110000111111011110101111111111001111011001110111010000101111010111111110011000110001111101010001
SRC%0	MAPK14%0,PDPK1%0	BI-G2	1.0	1	01111111111011001000001111111100110100010100001111110000111111011110101110000111111111011001110111010000101111010111111110011000110101111101010010
SRC%0	MAPK14%0,ROCK1%0	BI-G4	3.0	1	01113111111011001000011111111010110100001100001111110000111111011110101111111111101111011001110111010000101111010111111110011000110001111101010001
SRC%0	MAPK14%0,SYK%0	BI-P5	3.0	1	01113111011011001000011111111010110100001100001111110000111111011110100001111111101111011001110111010000101111010111111110011000110001111101010001
SRC%0	GSK3_f%0,MEK_f%0	CT-PD	2.0	1	01112111111010001000011111111010110100001000001111110000111111011010111111011111101111011001110111010000100011010111111110011000110001111101010001
SRC%0	GSK3_f%0,PIK3CA%0	CT-PI	3.0	1	01113111111011001000011111111010110100001100001111110000011111011110101111111111101111011001110111010000101111010111111110011000110001111101010000
SRC%0	GSK3_f%0,CTNNB1%0	CT-PK	3.0	1	01113111111011001000011111100010110100001100001111110000111111011110101111111111101111011001110111010000101111010111111110011000110001111101010001
SRC%0	GSK3_f%0,JNK_f%0	CT-JN	n/a	0	-
SRC%0	GSK3_f%0,RSK_f%0	CT-D1	2.0	1	01112111111011001000011111111010110100001100001111110000111111011110101111011111101111011001110111010000101111010111111110011000110001111101010001
SRC%0	GSK3_f%0,IKBKB%0	CT-60	3.0	1	01113111111011001000011111111010110100001100001111110000111111011110101111111111101101011001110110010000101111010111111110011000110001111101010001
SRC%0	GSK3_f%0,TGFBR1%0,ACVR1%0	CT-SB	3.0	1	01113111111011001000011111111010110100001100001111110000111111011110101111111111101111011001110111010000101111000111111100010000110001111101010001
SRC%0	GSK3_f%0,JAK_f%0	CT-RU	3.0	1	01113111111011001000011111111010110100001100001111110000111111011110101111111111101111011001110111010000101111010111111110011000110001111101010001
SRC%0	GSK3_f%0,CK1_f%0,TGFBR1%0	CT-D4	3.0	1	01113111111011001000011111111010110100001100001111110000111111011110101111111111101111011001110111010000101111010111111110010000110001111101010001
SRC%0	GSK3_f%0,MYC%0	CT-F4	2.0	1	01112111111011001000001111111100110100001100001111110000111111011110101111111111101111011001110111010000101111010111111110011000110101111101010001
SRC%0	GSK3_f%0,STAT3%0	CT-ST	3.0	1	01113111111011001000011111111010110100001100001111110000111111011110101111111111001111011001110111010000101111010111111110011000110001111101010001
SRC%0	GSK3_f%0,PDPK1%0	CT-G2	1.0	1	01111111111011001000001111111100110100010100001111110000111111011110101110000111111111011001110111010000101111010111111110011000110101111101010010
SRC%0	GSK3_f%0,ROCK1%0	CT-G4	3.0	1	01113111111011001000011111111010110100001100001111110000111111011110101111111111101111011001110111010000101111010111111110011000110001111101010001
SRC%0	GSK3_f%0,SYK%0	CT-P5	3.0	1	01113111011011001000011111111010110100001100001111110000111111011110100001111111101111011001110111010000101111010111111110011000110001111101010001
SRC%0	MEK_f%0,PIK3CA%0	PD-PI	2.0	1	01112111111010001000011111111010110100001000001111110000011111011010111111011111101111011001110111010000100011010111111110011000110001111101010000
SRC%0	MEK_f%0,CTNNB1%0	PD-PK	2.0	1	01112111111010001000011111100010110100001000001111110000111111011010111111011111101111011001110111010000100011010111111110011000110001111101010001
SRC%0	MEK_f%0,JNK_f%0	PD-JN	n/a	0	-
SRC%0	MEK_f%0,RSK_f%0	PD-D1	2.0	1	01112111111010001000011111111010110100001000001111110000111111011010111111011111101111011001110111010000100011010111111110011000110001111101010001
SRC%0	MEK_f%0,IKBKB%0	PD-60	2.0	1	01112111111010001000011111111010110100001000001111110000111111011010111111011111101101011001110110010000100011010111111110011000110001111101010001
SRC%0	MEK_f%0,TGFBR1%0,ACVR1%0	PD-SB	2.0	1	01112111111010001000011111111010110100001000001111110000111111011010111111011111101111011001110111010000100011000111111100010000110001111101010001
SRC%0	MEK_f%0,JAK_f%0	PD-RU	2.0	1	01112111111010001000011111111010110100001000001111110000111111011010111111011111101111011001110111010000100011010111111110011000110001111101010001
SRC%0	MEK_f%0,CK1_f%0,TGFBR1%0	PD-D4	2.0	1	01112111111010001000011111111010110100001000001111110000111111011010111111011111101111011001110111010000100011010111111110010000110001111101010001
SRC%0	MEK_f%0,MYC%0	PD-F4	1.0	1	01111111111010001000001111111100110100001000001111110000111111011010111111011111101111011001110111010000100011010111111110011000110101111101010001
SRC%0	MEK_f%0,STAT3%0	PD-ST	1.0	1	01111111111010001000010111111010110100001000001111110000111111011010111111011111001111011001110111010000100011010111111110011000110001111101010001
SRC%0	MEK_f%0,PDPK1%0	PD-G2	1.0	1	01111111111010001000001111111100110100010000001111110000111111011010111110000111111111011001110111010000100011010111111110011000110101111101010010
SRC%0	MEK_f%0,ROCK1%0	PD-G4	2.0	1	01112111111010001000011111111010110100001000001111110000111111011010111111011111101111011001110111010000100011010111111110011000110001111101010001
