node_ko	drugs	growth	nb_fixpoints	stable_state
GSK3_f%0,STAT3%0	CT-ST	3.0	1	11113011110111010000011111111010111100011100001111110010110111111110011111111101001011110011010111000000111101100111100101101110011011111101010001
GSK3_f%0,PDPK1%0	CT-G2	1.0	1	11111011110111010100101111111100110001010100001111110010110111111110011110001101111011110011010111000000111101100111100101101110010111111101010011
GSK3_f%0,ROCK1%0	CT-G4	3.0	1	11113011110111010000011111111010111100011100001111110010110111111110011111111101101011110011010111000000111101100111100101101110011011111101010001
GSK3_f%0,SYK%0	CT-P5	1.0	2	11103011010101000010011111111011111100011100001010012111010011111100000001101001110011110010010111000111111101101111100111001000111011000111101100;11103011010101010010011111111011111100011100001010012111010011111100000001101001110011110010010111000111111101100111100101001110011011000111101100;
MEK_f%0,PIK3CA%0	PD-PI	n/a	0	-
MEK_f%0,CTNNB1%0	PD-PK	2.0	1	11112101110110010000011111100010111100011000001111110010111111101010111111011101101011110011010101000000111101000101100101100110001011111100010001
MEK_f%0,JNK_f%0	PD-JN	2.0	1	11112101110110010000011111111010111100011000001111110010111111101010111111011101101011110011010101000000111101000101100101100110001011111100010001
MEK_f%0,RSK_f%0	PD-D1	2.0	1	11112101110110010000011111111010111100011000001111110010111111101010111111011101101011110011010101000000111101000101100101100110001011111100010001
MEK_f%0,IKBKB%0	PD-60	2.0	1	11112101110110010000011111111010111100011000001111110010111111101010111111011101101001110011010100000000111101000101100101100110001011111100010001
MEK_f%0,TGFBR1%0,ACVR1%0	PD-SB	2.0	1	11112101110110010000011111111010111100011000001111110010111111101010111111011101101011110011010101000000111101000101100101100110001011111100010001
MEK_f%0,JAK_f%0	PD-RU	2.0	1	11112101110010010000011111111010111100011000001111110010111111101010111111011101101011110001010101000000111101000101100101100110001011111100010001
MEK_f%0,CK1_f%0,TGFBR1%0	PD-D4	2.0	1	11112101110110010000011111111010111100011000001111110010111111101010111111011101101011110011010101000000111101000101100101100110001011111100010001
MEK_f%0,MYC%0	PD-F4	1.0	1	11111101110110010100101111111100111001011000001111110010111111101010111111011101101011110011010101000000111101000101100101100110001111111100010001
MEK_f%0,STAT3%0	PD-ST	1.0	1	11111101110110010000010111111010111100011000001111110010111111101010111111011101001011110011010101000000111101000101100101100110001011111100010001
MEK_f%0,PDPK1%0	PD-G2	1.0	1	11111101110110010100101111111100111001010000001111110010111111101010111110001101111011110011010101000000111101000101100101100110001111111100010011
MEK_f%0,ROCK1%0	PD-G4	2.0	1	11112101110110010000011111111010111100011000001111110010111111101010111111011101101011110011010101000000111101000101100101100110001011111100010001
MEK_f%0,SYK%0	PD-P5	2.0	1	11112101010110010000011111111010111100011000001111110010111111101010110001011101101011110011010101000000111101000101100101100110001011111100010001
PIK3CA%0,CTNNB1%0	PI-PK	1.0	2	11103011110101000010011111100011111100011100001011012111010111111110011111101001110011110010010111000111111101101111100111001000111011000111101100;11103011110101010010011111100011111100011100001011012111010111111110011111101001110011110010010111000111111101100111100101001110011011000111101100;
PIK3CA%0,JNK_f%0	PI-JN	2.0	1	11113001110101010010011111111010111100011100001011011110010111101110011111101101100011110011010101000111111101100101100101100110001011111100010000
PIK3CA%0,RSK_f%0	PI-D1	-1.0	2	11101011110101000110101111111101111001011100001001012111010111111110011111001001110011110010010111001111111101101111100111001000111111000111101110;11101011110101010110101111111101110001011100001001012111010111111110011111001001110011110010010111001111111101100111100101001110010111000111101110;
PIK3CA%0,IKBKB%0	PI-60	1.0	2	11103011110101000010011111111011111100011100001011012111010111111110011111101001110001110010010110000111111101101111100111001000111011000111101100;11103011110101010010011111111011111100011100001011012111010111111110011111101001110001110010010110000111111101100111100101001110011011000111101100;
PIK3CA%0,TGFBR1%0,ACVR1%0	PI-SB	1.0	2	11103011110101000010011111111011111100011100001011012111010111111110011111101001110011110010010111000111111101100111100101000000111011000111101100;11103011110101010010011111111011111100011100001011012111010111111110011111101001110011110010010111000111111101100111100101000110011011000111101100;
PIK3CA%0,JAK_f%0	PI-RU	1.0	2	11103011110001000010011111111011111100011100001011012111010111111110011111101001110011110000010111000111111101101111100111001000111011000111101100;11103011110001010010011111111011111100011100001011012111010111111110011111101001110011110000010111000111111101100111100101001110011011000111101100;
PIK3CA%0,CK1_f%0,TGFBR1%0	PI-D4	1.0	2	11103011110101000010011111111011111100011100001011012111010111111110011111101001110011110010010111000111111101101111100111000000111011000111101100;11103011110101010010011111111011111100011100001011012111010111111110011111101001110011110010010111000111111101100111100101000110011011000111101100;
PIK3CA%0,MYC%0	PI-F4	0.0	2	11102011110101000110101111111101111001011100001011012111010111111110011111101001110011110010010111000111111101101111100111001000111111000111101100;11102011110101010110101111111101110001011100001011012111010111111110011111101001110011110010010111000111111101100111100101001110010111000111101100;
PIK3CA%0,STAT3%0	PI-ST	1.0	2	11103011110101000010011111111011111100011100001011012111010111111110011111101001010011110010010111000111111101101111100111001000111011000111101100;11103011110101010010011111111011111100011100001011012111010111111110011111101001010011110010010111000111111101100111100101001110011011000111101100;
PIK3CA%0,PDPK1%0	PI-G2	-1.0	2	11101011110101000110101111111101111001010100001001012111010111111110011111001001110011110010010111001111111101101111100111001000111111000111101110;11101011110101010110101111111101110001010100001001012111010111111110011111001001110011110010010111001111111101100111100101001110010111000111101110;
PIK3CA%0,ROCK1%0	PI-G4	1.0	2	11113011110101000010011111111011111100011100001011012111010111111110011111101101100011110010010111000111111101101111100111101000111011111101010000;11113011110101010010011111111011111100011100001011012111010111111110011111101101100011110010010111000111111101100111100101101110011011111101010000;
