mutated_node	node_ko	drugs	growth	nb_fixpoints	stable_state
SRC%0	MAP3K7%0,PDPK1%0	5Z-G2	0.0	1	01111101111011001111101010111100110011110100001111111100111111000110111110000111111111011001110101010000101111010100011110110000100101111100010011
SRC%0	MAP3K7%0,ROCK1%0	5Z-G4	2.0	1	01113101111001001111111010111010111011101100001111111100111111000110111111111111100101011001110100010000101111010100011110110001101001111100010001
SRC%0	MAP3K7%0,SYK%0	5Z-P5	n/a	0	-
SRC%0	AKT_f%0,MAPK14%0	AK-BI	n/a	0	-
SRC%0	AKT_f%0,GSK3_f%0	AK-CT	n/a	0	-
SRC%0	AKT_f%0,MEK_f%0	AK-PD	n/a	0	-
SRC%0	AKT_f%0,PIK3CA%0	AK-PI	n/a	0	-
SRC%0	AKT_f%0,CTNNB1%0	AK-PK	n/a	0	-
SRC%0	AKT_f%0,JNK_f%0	AK-JN	n/a	0	-
SRC%0	AKT_f%0,RSK_f%0	AK-D1	n/a	0	-
SRC%0	AKT_f%0,IKBKB%0	AK-60	n/a	0	-
SRC%0	AKT_f%0,TGFBR1%0,ACVR1%0	AK-SB	1.0	1	01113101110001000111111010111011111011011100001011012111110111001110011111101111110111011000010101010111001111000101100000000001101011111110101100
SRC%0	AKT_f%0,JAK_f%0	AK-RU	n/a	0	-
SRC%0	AKT_f%0,CK1_f%0,TGFBR1%0	AK-D4	n/a	0	-
SRC%0	AKT_f%0,MYC%0	AK-F4	n/a	0	-
SRC%0	AKT_f%0,STAT3%0	AK-ST	n/a	0	-
SRC%0	AKT_f%0,PDPK1%0	AK-G2	n/a	0	-
SRC%0	AKT_f%0,ROCK1%0	AK-G4	1.0	1	01113101111001001111111010111011111011111100001011012101111111001110111111101111100111011000010101010111101111000101111110110001101001111100010001
SRC%0	AKT_f%0,SYK%0	AK-P5	n/a	0	-
SRC%0	MAPK14%0,GSK3_f%0	BI-CT	n/a	0	-
SRC%0	MAPK14%0,MEK_f%0	BI-PD	n/a	0	-
SRC%0	MAPK14%0,PIK3CA%0	BI-PI	n/a	0	-
SRC%0	MAPK14%0,CTNNB1%0	BI-PK	n/a	0	-
SRC%0	MAPK14%0,JNK_f%0	BI-JN	n/a	0	-
SRC%0	MAPK14%0,RSK_f%0	BI-D1	n/a	0	-
SRC%0	MAPK14%0,IKBKB%0	BI-60	n/a	0	-
SRC%0	MAPK14%0,TGFBR1%0,ACVR1%0	BI-SB	1.0	1	01113101110001000111111010111011111011011100001011012111110111001110011111101111110111011000010101010111001111000101100000000001101011111110101100
SRC%0	MAPK14%0,JAK_f%0	BI-RU	n/a	0	-
SRC%0	MAPK14%0,CK1_f%0,TGFBR1%0	BI-D4	n/a	0	-
SRC%0	MAPK14%0,MYC%0	BI-F4	2.0	1	01112101111001001101101010111100110011101100001111110000111111001110111111111111100111011001110101010000101111010101111110110000100101111100010001
SRC%0	MAPK14%0,STAT3%0	BI-ST	n/a	0	-
